Nome,Cod. Stazione,W_p,W_max,alpha,m2,Ks,Kc,Theta_min,Theta_max,Tag
Jesi,110,0.48,73.55,11.12,4.34,1.14,1.45,19,48.6,  jesi
Villa Fastiggi,112,0.8,277.8,8.77,9.89,1.68,1.36,13,56.3,  villa_fastiggi
Loro Piceno,124,0.5,73.99,8.23,8.07,9.46,1.39,9.8,52,  loro_piceno
Camerino,130,0.52,88.42,9.77,9.09,4.15,1.45,21.7,38.7,  camerino
Ponte della Barchetta,187,0.5,74.85,8.52,12.26,24.48,1.48,20.1,40.9,  ponte_barchetta
Sassotetto,204,0.53,90.13,10.23,2.86,1.1,1.34,11.3,33,  sassotetto
Colleponi,505,0.5,55.98,10.39,6.45,1.22,1.49,22.6,48.8,  colleponi
Fiastra Trebbio,604,0.45,67.78,9.27,13.88,26.6,1.49,21.7,41.9,  fiastra_trebbio
Fabriano Centro,605,0.44,44.06,7.98,14.08,5.23,1.49,20.7,46.5,  fabriano_centro
Pian di Pieca,607,0.47,45.42,11.28,3.81,1.11,1.33,19.3,46.3,  pian_di_pieca
Macerata Montalbano,609,0.5,49.1,11.9,7.22,1.11,1.49,24,49,  macerata_montalbano
Serravalle di Chienti,612,0.51,48.03,8.18,12.7,33.22,1.46,21.1,43.3,  serravalle_chienti
Monte Carpegna,719,0.57,189.17,13.82,14.82,1.03,1.5,27.3,63.2,  monte_carpegna
Frontino,721,0.51,103.54,9.56,3.46,1.28,1.46,25.4,53.2,  frontino
Pievebovigliana,723,0.51,67.66,8.59,6.33,6.13,1.4,26,41,  pievebovigliana
Monte San Vicino,733,0.5,41.09,7.91,4.96,22.67,1.48,33.5,50,  monte_san_vicino
Montegranaro,736,0.48,71.68,9.28,12.75,30.08,1.33,21,49,  montegranaro
Montemurello,737,0.52,138.07,12.32,13.96,1.78,1.49,31,48,  montemurello
Caldarola,740,0.66,91.17,10.18,5.55,1.64,1.49,22,36,  caldarola
Pieve di Cagna,742,0.53,81.53,12.46,14.66,1.13,1.27,26,40,  pieve_cagna
